event_id,event_type,department,environment,request_date,completed_date,completion_hours,sla_target_hours,met_sla
PRV-5000,Provisioning,HR,Active Directory,2025-10-08,2025-10-08 00:30:00.000000,0.5,8,True
PRV-5001,Provisioning,Sales,Hybrid (AD + Entra ID),2025-09-17,2025-09-17 00:53:18.099287,0.89,8,True
PRV-5002,Deprovisioning,Marketing,Hybrid (AD + Entra ID),2025-10-11,2025-10-11 04:18:20.256240,4.31,4,False
PRV-5003,Provisioning,Marketing,Active Directory,2025-12-10,2025-12-10 01:38:23.912705,1.64,8,True
PRV-5004,Deprovisioning,Marketing,Microsoft Entra ID,2025-11-21,2025-11-21 04:22:05.540107,4.37,4,False
PRV-5005,Deprovisioning,Operations,Hybrid (AD + Entra ID),2025-12-31,2025-12-31 02:01:29.294142,2.02,4,True
PRV-5006,Deprovisioning,Sales,Active Directory,2025-11-10,2025-11-10 01:25:39.716900,1.43,4,True
PRV-5007,Provisioning,Engineering,Hybrid (AD + Entra ID),2025-08-15,2025-08-15 05:00:07.886661,5.0,8,True
PRV-5008,Provisioning,Engineering,Hybrid (AD + Entra ID),2026-04-19,2026-04-19 03:05:56.798910,3.1,8,True
PRV-5009,Provisioning,Sales,Active Directory,2025-10-31,2025-10-31 03:12:32.627356,3.21,8,True
PRV-5010,Provisioning,Legal,Active Directory,2026-05-14,2026-05-14 02:45:57.430424,2.77,8,True
PRV-5011,Deprovisioning,HR,Hybrid (AD + Entra ID),2026-01-28,2026-01-28 01:16:47.496162,1.28,4,True
PRV-5012,Deprovisioning,HR,Hybrid (AD + Entra ID),2026-05-11,2026-05-11 00:56:10.023692,0.94,4,True
PRV-5013,Deprovisioning,Engineering,Hybrid (AD + Entra ID),2026-02-04,2026-02-04 00:13:10.153209,0.22,4,True
PRV-5014,Deprovisioning,Marketing,Hybrid (AD + Entra ID),2025-12-07,2025-12-07 05:12:36.173337,5.21,4,False
PRV-5015,Provisioning,Operations,Hybrid (AD + Entra ID),2025-12-22,2025-12-22 10:20:34.448952,10.34,8,False
PRV-5016,Provisioning,Engineering,Hybrid (AD + Entra ID),2026-01-20,2026-01-20 00:32:33.706485,0.54,8,True
PRV-5017,Provisioning,Marketing,Active Directory,2026-05-16,2026-05-16 00:30:00.000000,0.5,8,True
PRV-5018,Provisioning,Legal,Active Directory,2025-12-27,2025-12-27 01:56:07.783325,1.94,8,True
PRV-5019,Provisioning,Marketing,Active Directory,2026-02-22,2026-02-22 01:25:14.045493,1.42,8,True
PRV-5020,Provisioning,Legal,Active Directory,2026-04-03,2026-04-03 00:33:35.877708,0.56,8,True
PRV-5021,Provisioning,Legal,Active Directory,2026-01-25,2026-01-25 13:10:58.119319,13.18,8,False
PRV-5022,Provisioning,Engineering,Hybrid (AD + Entra ID),2025-07-11,2025-07-11 00:30:00.000000,0.5,8,True
PRV-5023,Deprovisioning,Sales,Hybrid (AD + Entra ID),2025-11-18,2025-11-18 05:46:59.001097,5.78,4,False
PRV-5024,Provisioning,Legal,Active Directory,2026-06-18,2026-06-18 07:28:13.888678,7.47,8,True
PRV-5025,Deprovisioning,Sales,Active Directory,2026-01-06,2026-01-06 05:35:57.782113,5.6,4,False
PRV-5026,Provisioning,Engineering,Microsoft Entra ID,2025-08-03,2025-08-03 01:01:22.802074,1.02,8,True
PRV-5027,Deprovisioning,Operations,Active Directory,2025-09-15,2025-09-15 07:08:59.226045,7.15,4,False
PRV-5028,Deprovisioning,Operations,Microsoft Entra ID,2025-10-10,2025-10-10 01:20:10.869979,1.34,4,True
