ticket_id,created_date,resolved_date,department,ticket_type,priority,assigned_agent,resolution_hours,sla_target_hours,met_sla
TKT-10000,2025-10-11 11:00:00,2025-10-11 13:44:19.779581,Legal,Group Membership,Medium,J. Nguyen,2.74,8,True
TKT-10001,2026-01-31 15:00:00,2026-01-31 17:03:07.594199,Operations,MFA Issue,Low,T. O'Brien,2.05,24,True
TKT-10002,2026-04-20 09:00:00,2026-04-20 09:14:08.843727,Marketing,Password Reset,Low,A. Palishchuk,0.24,24,True
TKT-10003,2026-06-10 08:00:00,2026-06-10 08:22:21.932284,HR,Access Request,Low,J. Nguyen,0.37,24,True
TKT-10004,2026-01-06 10:00:00,2026-01-06 12:15:49.106743,Operations,Access Request,High,R. Costa,2.26,2,False
TKT-10005,2025-07-21 16:00:00,2025-07-21 17:00:40.280770,Sales,Password Reset,High,J. Nguyen,1.01,2,True
TKT-10006,2026-06-11 12:00:00,2026-06-11 14:14:30.789686,HR,MFA Issue,Low,R. Costa,2.24,24,True
TKT-10007,2025-08-04 08:00:00,2025-08-04 08:33:37.151541,Marketing,MFA Issue,Medium,A. Palishchuk,0.56,8,True
TKT-10008,2026-03-17 13:00:00,2026-03-17 13:17:55.302127,Sales,Password Reset,Medium,T. O'Brien,0.3,8,True
TKT-10009,2026-03-27 15:00:00,2026-03-27 17:26:11.258530,Operations,Account Lockout,Medium,J. Nguyen,2.44,8,True
TKT-10010,2026-06-03 12:00:00,2026-06-03 12:25:13.133161,Operations,Account Lockout,High,A. Palishchuk,0.42,2,True
TKT-10011,2025-07-15 08:00:00,2025-07-15 08:19:35.454546,Legal,Password Reset,Low,M. Singh,0.33,24,True
TKT-10012,2025-09-19 15:00:00,2025-09-19 15:09:13.890712,Legal,SSO Login Failure,Medium,M. Singh,0.15,8,True
TKT-10013,2025-07-28 14:00:00,2025-07-28 14:39:06.402366,Legal,Device Enrollment,Low,J. Nguyen,0.65,24,True
TKT-10014,2026-02-01 12:00:00,2026-02-01 16:21:52.213769,Finance,SSO Login Failure,Medium,J. Nguyen,4.36,8,True
TKT-10015,2025-11-08 08:00:00,2025-11-08 08:46:08.744909,Engineering,SSO Login Failure,Low,R. Costa,0.77,24,True
TKT-10016,2025-07-15 17:00:00,2025-07-15 17:06:00.000000,Legal,Password Reset,Low,R. Costa,0.1,24,True
TKT-10017,2025-10-04 11:00:00,2025-10-04 13:44:49.438570,Engineering,Permission Change,Low,A. Palishchuk,2.75,24,True
TKT-10018,2025-07-13 14:00:00,2025-07-13 19:10:37.749603,Operations,MFA Issue,Low,J. Nguyen,5.18,24,True
TKT-10019,2025-11-11 11:00:00,2025-11-11 17:35:21.815395,HR,Permission Change,Medium,J. Nguyen,6.59,8,True
TKT-10020,2026-01-06 08:00:00,2026-01-06 08:06:00.000000,Operations,MFA Issue,Medium,T. O'Brien,0.1,8,True
TKT-10021,2026-06-24 13:00:00,2026-06-24 14:57:32.778859,Engineering,Access Request,Low,A. Palishchuk,1.96,24,True
TKT-10022,2025-11-29 13:00:00,2025-11-29 13:15:31.031584,Marketing,Password Reset,Medium,T. O'Brien,0.26,8,True
TKT-10023,2025-08-21 14:00:00,2025-08-21 16:36:53.810913,Finance,Access Request,Low,A. Palishchuk,2.61,24,True
TKT-10024,2025-07-02 09:00:00,2025-07-02 12:18:04.265403,Finance,Access Request,Low,A. Palishchuk,3.3,24,True
TKT-10025,2025-11-07 12:00:00,2025-11-07 12:59:51.796784,HR,Access Request,High,A. Palishchuk,1.0,2,True
TKT-10026,2025-12-31 08:00:00,2025-12-31 10:36:04.715079,Marketing,SSO Login Failure,Low,J. Nguyen,2.6,24,True
TKT-10027,2026-02-25 08:00:00,2026-02-25 08:35:42.201600,Engineering,Password Reset,Medium,R. Costa,0.6,8,True
TKT-10028,2026-06-11 10:00:00,2026-06-11 10:39:26.236959,Finance,Device Enrollment,Low,M. Singh,0.66,24,True
TKT-10029,2025-11-05 14:00:00,2025-11-05 16:10:08.719164,Finance,Permission Change,Low,A. Palishchuk,2.17,24,True
TKT-10030,2026-04-24 10:00:00,2026-04-24 17:51:07.995155,HR,MFA Issue,Low,R. Costa,7.85,24,True
